batch_size,processed_response
200,"{
  ""themes"": [
    {
      ""name"": ""Politics and Governance"",
      ""confidence"": 80,
      ""sub_themes"": [""US Politics"", ""International Relations"", ""Leadership""],
      ""keywords"": [""Trump"", ""Hillary Clinton"", ""Al Jazeera"", ""Ofcom""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Technology and Science"",
      ""confidence"": 70,
      ""sub_themes"": [""Artificial Intelligence"", ""Robotics"", ""Cybersecurity""],
      ""keywords"": [""Podscripter"", ""Syzygy"", ""Atari"", ""Robotics""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Social Issues and Activism"",
      ""confidence"": 85,
      ""sub_themes"": [""Racism"", ""Islamophobia"", ""LGBTQ+ Rights""],
      ""keywords"": [""Black Lives Matter"", ""Islamophobia News Algorithm"", ""LGBTQ+ Rights""],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Entertainment and Media"",
      ""confidence"": 65,
      ""sub_themes"": [""Movies"", ""Music"", ""TV Shows""],
      ""keywords"": [""Netflix"", ""Coco"", ""Angel's Bone"", ""Kendrick Lamar""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 60,
      ""sub_themes"": [""Mental Health"", ""Physical Health""],
      ""keywords"": [""Anxiety"", ""Mental Health Awareness""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Sports and Fitness"",
      ""confidence"": 55,
      ""sub_themes"": [""Football"", ""Basketball"", ""Running""],
      ""keywords"": [""Madden"", ""NFL"", ""Running""],
      ""sentiment"": ""positive""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 160,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
  ""themes"": [
    {
      ""name"": ""Celebrity and Entertainment"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Celebrity News"",
        ""Movie and TV Reviews"",
        ""Music and Concerts""
      ],
      ""keywords"": [
        ""Celebrity"",
        ""Entertainment"",
        ""Movies"",
        ""TV"",
        ""Music"",
        ""Concerts""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Politics and Social Issues"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Government and Politics"",
        ""Social Justice"",
        ""Economy and Finance""
      ],
      ""keywords"": [
        ""Politics"",
        ""Government"",
        ""Social Justice"",
        ""Economy"",
        ""Finance""
      ],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Technology and Science"",
      ""confidence"": 75,
      ""sub_themes"": [
        ""Tech News"",
        ""Science and Research"",
        ""Innovation and Entrepreneurship""
      ],
      ""keywords"": [
        ""Technology"",
        ""Science"",
        ""Research"",
        ""Innovation"",
        ""Entrepreneurship""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Sports and Fitness"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Sports News"",
        ""Fitness and Wellness"",
        ""Athletes and Teams""
      ],
      ""keywords"": [
        ""Sports"",
        ""Fitness"",
        ""Wellness"",
        ""Athletes"",
        ""Teams""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 65,
      ""sub_themes"": [
        ""Mental Health"",
        ""Physical Health"",
        ""Nutrition and Diet""
      ],
      ""keywords"": [
        ""Health"",
        ""Wellness"",
        ""Mental Health"",
        ""Physical Health"",
        ""Nutrition""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Education and Learning"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""Academic News"",
        ""Education Policy"",
        ""Personal Development""
      ],
      ""keywords"": [
        ""Education"",
        ""Learning"",
        ""Academics"",
        ""Policy"",
        ""Development""
      ],
      ""sentiment"": ""neutral""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 200,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
    ""type"": ""object"",
    ""properties"": {
        ""themes"": {
            ""type"": ""array"",
            ""items"": {
                ""type"": ""object"",
                ""properties"": {
                    ""name"": {
                        ""type"": ""string"",
                        ""description"": ""Primary theme identified""
                    },
                    ""confidence"": {
                        ""type"": ""number"", 
                        ""minimum"": 0,
                        ""maximum"": 100,
                        ""description"": ""Confidence level of theme extraction""
                    },
                    ""sub_themes"": {
                        ""type"": ""array"",
                        ""items"": {""type"": ""string""},
                        ""description"": ""Specific sub-categories within the theme""
                    },
                    ""keywords"": {
                        ""type"": ""array"", 
                        ""items"": {""type"": ""string""},
                        ""description"": ""Key terms supporting the theme""
                    },
                    ""sentiment"": {
                        ""type"": ""string"",
                        ""enum"": [""positive"", ""negative"", ""neutral""],
                        ""description"": ""Emotional tone of the theme""
                    }
                },
                ""required"": [""name"", ""confidence""]
            }
        },
        ""metadata"": {
            ""type"": ""object"",
            ""properties"": {
                ""tweet_length"": {""type"": ""integer""},
                ""language"": {""type"": ""string""},
                ""contains_hashtags"": {""type"": ""boolean""},
                ""contains_mentions"": {""type"": ""boolean""}
            }
        }
    },
    ""required"": [""themes""]
}

{
  ""themes"": [
    {
      ""name"": ""News and Current Events"",
      ""confidence"": 85,
      ""sub_themes"": [""Breaking News"", ""Politics"", ""Economy""],
      ""keywords"": [""MassStatePolice"", ""NRA"", ""Trump"", ""Kavanaugh"", ""NYFW"", ""KUWTK""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Technology and Innovation"",
      ""confidence"": 80,
      ""sub_themes"": [""Artificial Intelligence"", ""Machine Learning"", ""Blockchain""],
      ""keywords"": [""Edge"", ""Chromium"", ""DLT"", ""Ripple"", ""Nessus""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Sports and Entertainment"",
      ""confidence"": 90,
      ""sub_themes"": [""Sports News"", ""Movie Reviews"", ""Music""],
      ""keywords"": [""KendallJenner"", ""RalphLauren"", ""KUWTK"", ""TrainwreckMovie"", ""KimKardashian""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Politics and Social Issues"",
      ""confidence"": 75,
      ""sub_themes"": [""Social Justice"", ""Environmental Issues"", ""Government""],
      ""keywords"": [""Climate Change"", ""Voting Rights"", ""Immigration"", ""Cryptocurrency""],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Personal and Lifestyle"",
      ""confidence"": 70,
      ""sub_themes"": [""Relationships"", ""Food"", ""Travel""],
      ""keywords"": [""Foodie"", ""Travel"", ""Relationship Goals"", ""Wellness""],
      ""sentiment"": ""positive""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 200,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
  ""themes"": [
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""self-care"",
        ""eye health"",
        ""workout routine"",
        ""nutrition""
      ],
      ""keywords"": [
        ""take care"",
        ""rest"",
        ""healthy habits"",
        ""wellness""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Politics and Governance"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""gun control"",
        ""elections"",
        ""government policies"",
        ""international relations""
      ],
      ""keywords"": [
        ""policy"",
        ""government"",
        ""election"",
        ""politics""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Technology and Innovation"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""artificial intelligence"",
        ""cybersecurity"",
        ""data analytics"",
        ""blockchain""
      ],
      ""keywords"": [
        ""tech"",
        ""innovation"",
        ""AI"",
        ""blockchain""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Relationships and Social Issues"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""love"",
        ""friendship"",
        ""family"",
        ""social justice""
      ],
      ""keywords"": [
        ""love"",
        ""friendship"",
        ""family"",
        ""social justice""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Entertainment and Lifestyle"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""music"",
        ""movies"",
        ""TV shows"",
        ""travel""
      ],
      ""keywords"": [
        ""entertainment"",
        ""music"",
        ""movies"",
        ""travel""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Education and Learning"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""online courses"",
        ""degree programs"",
        ""learning resources"",
        ""career development""
      ],
      ""keywords"": [
        ""education"",
        ""learning"",
        ""career development"",
        ""online courses""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Sports and Fitness"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""athletics"",
        ""fitness"",
        ""team sports"",
        ""individual sports""
      ],
      ""keywords"": [
        ""sports"",
        ""fitness"",
        ""athletics"",
        ""team sports""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Business and Finance"",
      ""confidence"": 70,
      ""sub_themes"": [
        "" entrepreneurship"",
        "" investments"",
        "" marketing"",
        ""management""
      ],
      ""keywords"": [
        ""business"",
        ""finance"",
        ""entrepreneurship"",
        ""investments""
      ],
      ""sentiment"": ""positive""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 250,
    ""language"": ""en"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
  ""themes"": [
    {
      ""name"": ""Politics and Social Justice"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Assange extradition"",
        ""Gun control"",
        ""Women's rights"",
        ""Hillary Clinton"",
        ""Racism and xenophobia""
      ],
      ""keywords"": [
        ""Assange"",
        ""wikileaks"",
        ""gun control"",
        ""Hillary"",
        ""racism"",
        ""xenophobia""
      ],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Entertainment and Culture"",
      ""confidence"": 90,
      ""sub_themes"": [
        ""Movies"",
        ""TV shows"",
        ""Music"",
        ""Celebrities"",
        ""Comedy""
      ],
      ""keywords"": [
        ""movies"",
        ""TV"",
        ""music"",
        ""celebrities"",
        ""comedy"",
        ""beyonce""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Science and Technology"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Robotics"",
        ""AI"",
        ""Space exploration"",
        ""Coding"",
        ""Security""
      ],
      ""keywords"": [
        ""robotics"",
        ""AI"",
        ""space"",
        ""coding"",
        ""security""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Environment and Conservation"",
      ""confidence"": 75,
      ""sub_themes"": [
        ""Climate change"",
        ""Conservation"",
        ""Sustainability"",
        ""Biodiversity"",
        ""Wildlife""
      ],
      ""keywords"": [
        ""climate"",
        ""conservation"",
        ""sustainability"",
        ""biodiversity"",
        ""wildlife""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Business and Finance"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Economy"",
        ""Finance"",
        ""Business"",
        ""Investing"",
        ""Stock market""
      ],
      ""keywords"": [
        ""economy"",
        ""finance"",
        ""business"",
        ""investing"",
        ""stock market""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Fitness"",
        ""Mental health"",
        ""Wellness"",
        ""Nutrition"",
        ""Self-care""
      ],
      ""keywords"": [
        ""fitness"",
        ""mental health"",
        ""wellness"",
        ""nutrition"",
        ""self-care""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Sports and Fitness"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Sports"",
        ""Fitness"",
        ""Exercise"",
        ""Athletes"",
        ""Sports news""
      ],
      ""keywords"": [
        ""sports"",
        ""fitness"",
        ""exercise"",
        ""athletes"",
        ""sports news""
      ],
      ""sentiment"": ""positive""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 300,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
    ""type"": ""object"",
    ""properties"": {
        ""themes"": {
            ""type"": ""array"",
            ""items"": {
                ""type"": ""object"",
                ""properties"": {
                    ""name"": {
                        ""type"": ""string"",
                        ""description"": ""Primary theme identified""
                    },
                    ""confidence"": {
                        ""type"": ""number"", 
                        ""minimum"": 0,
                        ""maximum"": 100,
                        ""description"": ""Confidence level of theme extraction""
                    },
                    ""sub_themes"": {
                        ""type"": ""array"",
                        ""items"": {""type"": ""string""},
                        ""description"": ""Specific sub-categories within the theme""
                    },
                    ""keywords"": {
                        ""type"": ""array"", 
                        ""items"": {""type"": ""string""},
                        ""description"": ""Key terms supporting the theme""
                    },
                    ""sentiment"": {
                        ""type"": ""string"",
                        ""enum"": [""positive"", ""negative"", ""neutral""],
                        ""description"": ""Emotional tone of the theme""
                    }
                },
                ""required"": [""name"", ""confidence""]
            }
        },
        ""metadata"": {
            ""type"": ""object"",
            ""properties"": {
                ""tweet_length"": {""type"": ""integer""},
                ""language"": {""type"": ""string""},
                ""contains_hashtags"": {""type"": ""boolean""},
                ""contains_mentions"": {""type"": ""boolean""}
            }
        }
    },
    ""required"": [""themes""]
} 

{
    ""themes"": [
        {
            ""name"": ""Politics"",
            ""confidence"": 85,
            ""sub_themes"": [
                ""Election"",
                ""Government"",
                ""Politics News"",
                ""Leadership"",
                ""Policy""
            ],
            ""keywords"": [
                ""politics"",
                ""election"",
                ""government"",
                ""leadership"",
                ""policy""
            ],
            ""sentiment"": ""neutral""
        },
        {
            ""name"": ""Music"",
            ""confidence"": 70,
            ""sub_themes"": [
                ""Concert"",
                ""Album"",
                ""Artist"",
                ""Music Festival"",
                ""Music News""
            ],
            ""keywords"": [
                ""music"",
                ""concert"",
                ""album"",
                ""artist"",
                ""music festival""
            ],
            ""sentiment"": ""positive""
        },
        {
            ""name"": ""Environment"",
            ""confidence"": 60,
            ""sub_themes"": [
                ""Climate Change"",
                ""Sustainability"",
                ""Conservation"",
                ""Green Technology"",
                ""Eco-Friendly""
            ],
            ""keywords"": [
                ""environment"",
                ""climate change"",
                ""sustainability"",
                ""conservation"",
                ""green technology""
            ],
            ""sentiment"": ""neutral""
        },
        {
            ""name"": ""Sports"",
            ""confidence"": 80,
            ""sub_themes"": [
                ""Football"",
                ""Basketball"",
                ""Baseball"",
                ""Tennis"",
                ""Sports News""
            ],
            ""keywords"": [
                ""sports"",
                ""football"",
                ""basketball"",
                ""baseball"",
                ""tennis""
            ],
            ""sentiment"": ""positive""
        },
        {
            ""name"": ""Technology"",
            ""confidence"": 75,
            ""sub_themes"": [
                ""Artificial Intelligence"",
                ""Machine Learning"",
                ""Robotics"",
                ""Cybersecurity"",
                ""Tech News""
            ],
            ""keywords"": [
                ""technology"",
                ""artificial intelligence"",
                ""machine learning"",
                ""robotics"",
                ""cybersecurity""
            ],
            ""sentiment"": ""neutral""
        },
        {
            ""name"": ""Health"",
            ""confidence"": 65,
            ""sub_themes"": [
                ""Fitness"",
                ""Wellness"",
                ""Disease Prevention"",
                ""Healthy Living"",
                ""Medical Research""
            ],
            ""keywords"": [
                ""health"",
                ""fitness"",
                ""wellness"",
                ""disease prevention"",
                ""healthy living""
            ],
            ""sentiment"": ""positive""
        }
    ],
    ""metadata"": {
        ""tweet_length"": 500,
        ""language"": ""English"",
        ""contains_hashtags"": true,
        ""contains_mentions"": true
    }
}"
200,"{
  ""themes"": [
    {
      ""name"": ""Technology and Innovation"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Artificial Intelligence"",
        ""Machine Learning"",
        ""Cloud Computing"",
        ""Cybersecurity""
      ],
      ""keywords"": [
        ""AI"",
        ""ML"",
        ""Cloud"",
        ""Cybersecurity""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Politics and Governance"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Elections"",
        ""Government Policies"",
        ""International Relations""
      ],
      ""keywords"": [
        ""Election"",
        ""Policy"",
        ""Government"",
        ""International""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Business and Finance"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""Economy"",
        ""Finance"",
        ""Investments"",
        ""Market Trends""
      ],
      ""keywords"": [
        ""Economy"",
        ""Finance"",
        ""Invest"",
        ""Market""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Entertainment and Media"",
      ""confidence"": 50,
      ""sub_themes"": [
        ""Movies"",
        ""Music"",
        ""TV Shows"",
        ""Celebrity News""
      ],
      ""keywords"": [
        ""Movie"",
        ""Music"",
        ""TV"",
        ""Celebrity""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 40,
      ""sub_themes"": [
        ""Fitness"",
        ""Nutrition"",
        ""Mental Health"",
        ""Disease Prevention""
      ],
      ""keywords"": [
        ""Fitness"",
        ""Nutrition"",
        ""Health"",
        ""Wellness""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Travel and Adventure"",
      ""confidence"": 30,
      ""sub_themes"": [
        ""Travel"",
        ""Adventure"",
        ""Tourism"",
        ""Cultural Experiences""
      ],
      ""keywords"": [
        ""Travel"",
        ""Adventure"",
        ""Tourism"",
        ""Culture""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Education and Learning"",
      ""confidence"": 20,
      ""sub_themes"": [
        ""Learning"",
        ""Education"",
        ""Academics"",
        ""Personal Development""
      ],
      ""keywords"": [
        ""Learn"",
        ""Education"",
        ""Academic"",
        ""Develop""
      ],
      ""sentiment"": ""positive""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 100,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
  ""type"": ""object"",
  ""properties"": {
    ""themes"": {
      ""type"": ""array"",
      ""items"": {
        ""type"": ""object"",
        ""properties"": {
          ""name"": {
            ""type"": ""string"",
            ""description"": ""Primary theme identified""
          },
          ""confidence"": {
            ""type"": ""number"",
            ""minimum"": 0,
            ""maximum"": 100,
            ""description"": ""Confidence level of theme extraction""
          },
          ""sub_themes"": {
            ""type"": ""array"",
            ""items"": {""type"": ""string""},
            ""description"": ""Specific sub-categories within the theme""
          },
          ""keywords"": {
            ""type"": ""array"",
            ""items"": {""type"": ""string""},
            ""description"": ""Key terms supporting the theme""
          },
          ""sentiment"": {
            ""type"": ""string"",
            ""enum"": [""positive"", ""negative"", ""neutral""],
            ""description"": ""Emotional tone of the theme""
          }
        },
        ""required"": [""name"", ""confidence""]
      }
    },
    ""metadata"": {
      ""type"": ""object"",
      ""properties"": {
        ""tweet_length"": {""type"": ""integer""},
        ""language"": {""type"": ""string""},
        ""contains_hashtags"": {""type"": ""boolean""},
        ""contains_mentions"": {""type"": ""boolean""}
      }
    }
  },
  ""required"": [""themes""]
}

{
  ""themes"": [
    {
      ""name"": ""Business and Finance"",
      ""confidence"": 85,
      ""sub_themes"": [""Stock Market"", ""Economy"", ""Investments""],
      ""keywords"": [""Marriott"", ""Starwood"", ""Tesla"", ""Dell EMC"", ""VMware""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Entertainment"",
      ""confidence"": 80,
      ""sub_themes"": [""Movies"", ""Music"", ""TV Shows""],
      ""keywords"": [""Game of Thrones"", ""Cage"", ""Bryan Ferry"", ""Todd Terje""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Politics"",
      ""confidence"": 90,
      ""sub_themes"": [""Government"", ""Elections"", ""Policy""],
      ""keywords"": [""Trump"", ""Kavanaugh"", ""Ford"", ""Pelosi"", ""McConnell""],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Technology"",
      ""confidence"": 88,
      ""sub_themes"": [""AI"", ""Machine Learning"", ""Blockchain""],
      ""keywords"": [""MATLAB"", ""Neural Network"", ""PHP-Proxy""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Sports"",
      ""confidence"": 75,
      ""sub_themes"": [""Hockey"", ""Baseball"", ""Football""],
      ""keywords"": [""Sochi 2014"", ""Gold Medal"", ""Hockey Canada""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Travel"",
      ""confidence"": 70,
      ""sub_themes"": [""Vacations"", ""Tourism"", ""Culture""],
      ""keywords"": [""South of France"", ""Du Cap"", ""Heaven"", ""Blessed""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Environment"",
      ""confidence"": 65,
      ""sub_themes"": [""Climate Change"", ""Sustainability"", ""Conservation""],
      ""keywords"": [""Heatwaves"", ""Natural Disasters"", ""Australi""],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Health"",
      ""confidence"": 60,
      ""sub_themes"": [""Fitness"", ""Wellness"", ""Nutrition""],
      ""keywords"": [""Breakfast"", ""Umbrella"", ""Exfoliating""],
      ""sentiment"": ""neutral""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 140,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
  ""themes"": [
    {
      ""name"": ""Celebrity News and Culture"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Entertainment"",
        ""Music"",
        ""Movies"",
        ""TV Shows""
      ],
      ""keywords"": [
        ""Celebrity"",
        ""Entertainment"",
        ""Music"",
        ""Movies"",
        ""TV Shows"",
        ""Red Carpet"",
        ""Awards"",
        ""Fashion""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Politics and News"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Government"",
        ""Economy"",
        ""Politics"",
        ""News"",
        ""Current Events""
      ],
      ""keywords"": [
        ""Politics"",
        ""Government"",
        ""Economy"",
        ""News"",
        ""Current Events"",
        ""President"",
        ""Congress"",
        ""Senate""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Technology and Science"",
      ""confidence"": 75,
      ""sub_themes"": [
        ""Tech"",
        ""Science"",
        ""Innovation"",
        ""Gadgets""
      ],
      ""keywords"": [
        ""Technology"",
        ""Science"",
        ""Innovation"",
        ""Gadgets"",
        ""Space Exploration"",
        ""Artificial Intelligence"",
        ""Robotics""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""Fitness"",
        ""Health"",
        ""Wellness"",
        ""Nutrition""
      ],
      ""keywords"": [
        ""Health"",
        ""Wellness"",
        ""Fitness"",
        ""Nutrition"",
        ""Self-Care"",
        ""Mental Health""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Travel and Adventure"",
      ""confidence"": 50,
      ""sub_themes"": [
        ""Travel"",
        ""Adventure"",
        ""Exploration"",
        ""Culture""
      ],
      ""keywords"": [
        ""Travel"",
        ""Adventure"",
        ""Exploration"",
        ""Culture"",
        ""Food"",
        ""Wine"",
        ""History""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Sports and Fitness"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Sports"",
        ""Fitness"",
        ""Gaming"",
        ""Athletes""
      ],
      ""keywords"": [
        ""Sports"",
        ""Fitness"",
        ""Gaming"",
        ""Athletes"",
        ""Teams"",
        ""Tournaments"",
        ""Championships""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Environment and Conservation"",
      ""confidence"": 40,
      ""sub_themes"": [
        ""Environment"",
        ""Conservation"",
        ""Sustainability"",
        ""Eco-Friendly""
      ],
      ""keywords"": [
        ""Environment"",
        ""Conservation"",
        ""Sustainability"",
        ""Eco-Friendly"",
        ""Climate Change"",
        ""Green Living""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Food and Drink"",
      ""confidence"": 30,
      ""sub_themes"": [
        ""Food"",
        ""Drink"",
        ""Cooking"",
        ""Recipes""
      ],
      ""keywords"": [
        ""Food"",
        ""Drink"",
        ""Cooking"",
        ""Recipes"",
        ""Restaurants"",
        ""Cuisine""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Art and Design"",
      ""confidence"": 20,
      ""sub_themes"": [
        ""Art"",
        ""Design"",
        ""Architecture"",
        ""Fashion""
      ],
      ""keywords"": [
        ""Art"",
        ""Design"",
        ""Architecture"",
        ""Fashion"",
        ""Painting"",
        ""Sculpture""
      ],
      ""sentiment"": ""positive""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 420,
    ""language"": ""en"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}"
200,"{
  ""themes"": [
    {
      ""name"": ""Politics and Government"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Government Jobs"",
        ""Trump"",
        ""Kendall Jenner"",
        ""London Politics""
      ],
      ""keywords"": [
        ""politics"",
        ""government"",
        ""Trump"",
        ""Kendall Jenner"",
        ""London"",
        ""jobs""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Social Media and Technology"",
      ""confidence"": 90,
      ""sub_themes"": [
        ""Twitter"",
        ""Facebook"",
        ""Blockchain"",
        ""Crypto Fundraising""
      ],
      ""keywords"": [
        ""social media"",
        ""technology"",
        ""Twitter"",
        ""Facebook"",
        ""Blockchain"",
        ""Crypto Fundraising""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Sports and Entertainment"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Sports"",
        ""Music"",
        ""Movies"",
        ""TV Shows""
      ],
      ""keywords"": [
        ""sports"",
        ""music"",
        ""movies"",
        ""TV shows""
      ],
      ""sentiment"": ""enthusiastic""
    },
    {
      ""name"": ""Food and Drink"",
      ""confidence"": 75,
      ""sub_themes"": [
        ""Cuisine"",
        ""Recipes"",
        ""Restaurants""
      ],
      ""keywords"": [
        ""food"",
        ""drink"",
        ""cuisine"",
        ""recipes"",
        ""restaurants""
      ],
      ""sentiment"": ""appreciative""
    },
    {
      ""name"": ""Health and Wellness"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Fitness"",
        ""Weight Loss"",
        ""Mental Health""
      ],
      ""keywords"": [
        ""health"",
        ""wellness"",
        ""fitness"",
        ""weight loss"",
        ""mental health""
      ],
      ""sentiment"": ""concerned""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 500,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}

Note: The sentiment analysis is subjective and may vary based on individual interpretations. The themes and sub-themes extracted are based on the content of the tweets and may not be exhaustive. The confidence levels are approximate and based on the frequency and relevance of the keywords in the tweets."
