UMAP1,UMAP2,Cluster,Tweet,Cluster_Label
12.303464,10.198484,-1,Right collection site require nearly we available.,Noise
11.454066,11.887463,95,Trouble smile factor nice state culture man wide population each for response.,"Cluster 95: beat, heart, smile"
9.129803,11.700172,11,Quality work finally rule they stage yeah security story group church lot myself.,"Cluster 11: stay, despite, church"
11.887675,10.060708,155,Draw teach however near question decade reflect sometimes reflect some.,"Cluster 155: travel, phone, draw"
10.959739,11.369275,-1,Voice player management beautiful number during world another television group.,Noise
10.159869,10.509456,-1,Cost general food whom box war under center.,Noise
11.58855,9.954598,-1,Growth form ahead necessary through age add training hot water own idea.,Noise
13.397056,9.889315,138,Wonder attack question until cost knowledge want.,"Cluster 138: program, attack, state"
12.951491,9.183111,157,Open company never performance five same seven however can fast open both whether.,"Cluster 157: future, join, network"
12.260215,11.551467,107,No example image opportunity cost evidence can land while hospital state tonight skin.,"Cluster 107: pattern, movie, film"
15.0501,9.923735,90,Democrat hot find risk low western lay state resource.,"Cluster 90: election, democrat, democratic"
11.562272,10.908093,113,Art TV field serious enough individual point subject analysis serve race size why.,"Cluster 113: half, tv, audience"
14.685696,10.16066,85,Summer help power necessary instead pretty soon pass already politics.,"Cluster 85: political, congress, politics"
13.106196,8.722256,-1,Huge do certainly identify money save already.,Noise
13.042357,8.953885,157,Raise firm option thank reality might then some task.,"Cluster 157: future, join, network"
11.32081,8.274165,21,Set we ground tree can mind business cold low fly.,"Cluster 21: tree, bed, blue"
11.021692,8.117373,19,Tree your fall station pay traditional evidence.,"Cluster 19: language, pay, tree"
11.688364,11.354009,114,Yes up wide standard care build film allow west throw mind.,"Cluster 114: town, thank, star"
11.817776,12.337001,-1,Strategy sense record sport hit throughout general protect woman reality hour through full.,Noise
13.979552,12.457595,25,Sometimes something my though drive lawyer our cold turn rich film place.,"Cluster 25: court, attorney, lawyer"
13.354227,12.859186,-1,Also reflect person him walk security field available pay letter thousand.,Noise
13.75908,9.329431,55,Million sign almost treat boy finish.,"Cluster 55: wall, country, million"
12.369949,8.83424,173,Wait tough meet size against again.,"Cluster 173: wait, range, size"
10.996053,10.10168,61,Class body so identify night someone.,"Cluster 61: office, night, person"
12.548676,10.8053055,-1,Forward why case there sound practice.,Noise
11.420632,8.104302,20,Try eight see pressure result beyond too enter create without edge.,"Cluster 20: bed, plant, pressure"
13.009561,9.477031,156,Finally front option risk conference how however read one everyone suggest here when.,"Cluster 156: strategy, account, management"
11.21361,10.982595,-1,Thank charge sport whole ten whose light American me listen student partner.,Noise
9.412215,12.667706,6,Assume fish watch similar data reach sort relate of game.,"Cluster 6: begin, music, fish"
13.518631,9.08207,54,Claim run share deal box allow study there subject year rise current.,"Cluster 54: car, particularly, consumer"
13.384532,12.062378,81,Town itself officer parent represent direction its your must other.,"Cluster 81: fight, sing, brother"
13.106863,9.04918,157,Spring deal cut economic report rather include body region summer center.,"Cluster 157: future, join, network"
11.82311,8.248592,39,Produce behind south must under week.,"Cluster 39: energy, environmental, green"
12.20088,11.312263,107,Report face eye area until strategy per hand.,"Cluster 107: pattern, movie, film"
12.529076,9.617408,172,Red data quickly job building explain she sea writer.,"Cluster 172: resource, operation, town"
11.425859,7.854172,18,Pressure on gas central many sing four vote.,"Cluster 18: sport, energy, gas"
11.454682,9.332781,132,Work month stock they world full bag.,"Cluster 132: stock, clear, window"
13.105152,9.20597,157,Statement receive suffer group future firm.,"Cluster 157: future, join, network"
9.403575,10.538286,0,Never quality which animal talk miss attorney way nice however tend light.,"Cluster 0: pattern, animal, dog"
11.881576,9.930541,155,Draw administration thank morning view force.,"Cluster 155: travel, phone, draw"
14.536928,9.618183,-1,Want through loss sound direction security Congress far glass scientist.,Noise
11.997927,9.279812,163,Though note form nearly teacher factor million memory house able grow poor.,"Cluster 163: large, memory, throw"
12.283291,12.06566,103,Another send child light member moment reflect body.,"Cluster 103: light, fall, child"
11.822911,12.128094,-1,Common life bad across dream hit full spring teach.,Noise
11.313482,10.976739,110,Begin guess nice pick state message yard ball television five need.,"Cluster 110: decade, sign, commercial"
12.534687,12.507732,63,Sister set area everybody finally parent as relate glass hair blue.,"Cluster 63: view, sister, daughter"
12.5681305,12.84023,66,Threat sister late outside worker first always environment nice adult.,"Cluster 66: window, end, sister"
